scheduler, patronID, drinkName, execTime,arrivalTime, serviceStartTime, completionTime,waitingTime, responseTime, turnaroundTime, queueLevel
SJF,8,Pina Colada,100,1778882426926,1778882426926,1778882427027,0,0,101,0
SJF,9,Cosmopolitan,65,1778882426932,1778882427028,1778882427094,96,96,162,0
SJF,9,White Wine,25,1778882427144,1778882427144,1778882427169,0,0,25,0
SJF,8,Vodka shot,20,1778882427147,1778882427171,1778882427191,24,24,44,0
SJF,8,Pina Colada,100,1778882427194,1778882427195,1778882427295,1,1,101,0
SJF,0,Martini,60,1778882443381,1778882443382,1778882443442,1,1,61,0
SJF,0,Bloody Mary,70,1778882443553,1778882443553,1778882443623,0,0,70,0
SJF,0,White Wine,25,1778882443773,1778882443774,1778882443799,1,1,26,0
SJF,0,Beer,25,1778882443949,1778882443949,1778882443974,0,0,25,0
SJF,1,Vodka shot,20,1778882443989,1778882443989,1778882444009,0,0,20,0
SJF,1,Mojito,75,1778882444013,1778882444013,1778882444088,0,0,75,0
SJF,2,Draft Beer,50,1778882444069,1778882444090,1778882444140,21,21,71,0
SJF,0,Cosmopolitan,65,1778882444075,1778882444142,1778882444207,67,67,132,0
SJF,1,Vodka shot,20,1778882444198,1778882444209,1778882444229,11,11,31,0
SJF,1,Cider,25,1778882444233,1778882444233,1778882444258,0,0,25,0
SJF,2,Cider,25,1778882444241,1778882444260,1778882444285,19,19,44,0
SJF,0,Red Wine,25,1778882444258,1778882444286,1778882444312,28,28,54,0
SJF,3,Mojito,75,1778882444271,1778882444313,1778882444388,42,42,117,0
SJF,2,Cider,25,1778882444385,1778882444390,1778882444415,5,5,30,0
SJF,1,Martini,60,1778882444358,1778882444417,1778882444477,59,59,119,0
SJF,0,Martini,60,1778882444462,1778882444479,1778882444539,17,17,77,0
SJF,3,Gin and Tonic,40,1778882444499,1778882444541,1778882444581,42,42,82,0
SJF,4,Tequila shot,20,1778882444547,1778882444583,1778882444603,36,36,56,0
SJF,2,Gin and Tonic,40,1778882444516,1778882444604,1778882444645,88,88,129,0
SJF,1,Margarita,75,1778882444588,1778882444646,1778882444721,58,58,133,0
SJF,0,Vodka shot,20,1778882444649,1778882444723,1778882444743,74,74,94,0
SJF,4,Margarita,75,1778882444606,1778882444745,1778882444820,139,139,214,0
SJF,5,Mojito,75,1778882444850,1778882444850,1778882444925,0,0,75,0
SJF,6,White Wine,25,1778882444884,1778882444927,1778882444952,43,43,68,0
SJF,4,Pina Colada,100,1778882444900,1778882444954,1778882445054,54,54,154,0
SJF,5,Beer,25,1778882445036,1778882445056,1778882445081,20,20,45,0
SJF,6,Gin and Tonic,40,1778882445103,1778882445103,1778882445143,0,0,40,0
SJF,4,Mojito,75,1778882445175,1778882445175,1778882445250,0,0,75,0
SJF,5,Vodka shot,20,1778882445182,1778882445255,1778882445276,73,73,94,0
SJF,6,Martini,60,1778882445253,1778882445277,1778882445337,24,24,84,0
SJF,5,Beer,25,1778882445279,1778882445339,1778882445364,60,60,85,0
SJF,4,Margarita,75,1778882445360,1778882445366,1778882445441,6,6,81,0
SJF,6,Bloody Mary,70,1778882445448,1778882445448,1778882445518,0,0,70,0
SJF,5,B52,200,1778882445465,1778882445520,1778882445720,55,55,255,0
SJF,4,White Wine,25,1778882445521,1778882445721,1778882445747,200,200,226,0
SJF,6,Cosmopolitan,65,1778882445668,1778882445748,1778882445813,80,80,145,0
SJF,5,Bloody Mary,70,1778882445730,1778882445815,1778882445885,85,85,155,0
SJF,6,Mojito,75,1778882445864,1778882445887,1778882445962,23,23,98,0
SJF,4,Vodka shot,20,1778882445897,1778882445964,1778882445984,67,67,87,0
SJF,5,Gin and Tonic,40,1778882446036,1778882446036,1778882446076,0,0,40,0
SJF,6,Cider,25,1778882446072,1778882446078,1778882446103,6,6,31,0
SJF,5,Pina Colada,100,1778882446186,1778882446186,1778882446287,0,0,101,0
SJF,7,Beer,25,1778882446283,1778882446288,1778882446313,5,5,30,0
SJF,7,Tequila shot,20,1778882446414,1778882446414,1778882446434,0,0,20,0
SJF,7,Pina Colada,100,1778882446437,1778882446437,1778882446537,0,0,100,0
SJF,7,Martini,60,1778882446658,1778882446658,1778882446718,0,0,60,0
SJF,7,Draft Beer,50,1778882446828,1778882446828,1778882446879,0,0,51,0
SJF,7,Vodka shot,20,1778882446979,1778882446979,1778882446999,0,0,20,0
SJF,8,Mojito,75,1778882446987,1778882447001,1778882447076,14,14,89,0
SJF,7,Martini,60,1778882447003,1778882447078,1778882447138,75,75,135,0
SJF,8,Tequila shot,20,1778882447186,1778882447186,1778882447207,0,0,21,0
SJF,8,Margarita,75,1778882447210,1778882447210,1778882447285,0,0,75,0
SJF,8,Tequila shot,20,1778882447365,1778882447366,1778882447386,1,1,21,0
SJF,8,Cider,25,1778882447389,1778882447389,1778882447414,0,0,25,0
SJF,9,Red Wine,25,1778882447985,1778882447985,1778882448010,0,0,25,0
SJF,9,White Wine,25,1778882448161,1778882448161,1778882448186,0,0,25,0
SJF,9,B52,200,1778882448336,1778882448336,1778882448537,0,0,201,0
SJF,9,Martini,60,1778882448547,1778882448547,1778882448607,0,0,60,0
SJF,9,Gin and Tonic,40,1778882448717,1778882448717,1778882448758,0,0,41,0
SJF,9,Mojito,75,1778882448868,1778882448868,1778882448943,0,0,75,0
SJF,9,Vodka shot,20,1778882449054,1778882449054,1778882449074,0,0,20,0
SJF,9,Pina Colada,100,1778882449077,1778882449077,1778882449177,0,0,100,0
SJF,0,B52,200,1778882466832,1778882466833,1778882467033,1,1,201,0
SJF,0,Tequila shot,20,1778882467044,1778882467061,1778882467081,17,17,37,0
SJF,1,Draft Beer,50,1778882467068,1778882467083,1778882467133,15,15,65,0
SJF,0,Martini,60,1778882467084,1778882467135,1778882467195,51,51,111,0
SJF,2,White Wine,25,1778882467212,1778882467212,1778882467237,0,0,25,0
SJF,1,Margarita,75,1778882467233,1778882467239,1778882467314,6,6,81,0
SJF,2,Beer,25,1778882467387,1778882467387,1778882467413,0,0,26,0
SJF,1,Draft Beer,50,1778882467394,1778882467414,1778882467465,20,20,71,0
SJF,2,Gin and Tonic,40,1778882467513,1778882467513,1778882467553,0,0,40,0
SJF,2,Tequila shot,20,1778882467664,1778882467664,1778882467684,0,0,20,0
SJF,3,Beer,25,1778882467694,1778882467694,1778882467719,0,0,25,0
SJF,4,Martini,60,1778882467751,1778882467751,1778882467811,0,0,60,0
SJF,3,Tequila shot,20,1778882467819,1778882467819,1778882467840,0,0,21,0
SJF,3,Margarita,75,1778882467843,1778882467843,1778882467918,0,0,75,0
SJF,3,Margarita,75,1778882467998,1778882467999,1778882468074,1,1,76,0
SJF,5,Martini,60,1778882468733,1778882468733,1778882468793,0,0,60,0
SJF,5,Mojito,75,1778882468903,1778882468903,1778882468979,0,0,76,0
SJF,5,White Wine,25,1778882469089,1778882469089,1778882469114,0,0,25,0
SJF,5,Mojito,75,1778882469265,1778882469265,1778882469340,0,0,75,0
SJF,5,Cosmopolitan,65,1778882469450,1778882469450,1778882469516,0,0,66,0
SJF,5,Pina Colada,100,1778882469566,1778882469566,1778882469666,0,0,100,0
SJF,6,Margarita,75,1778882469658,1778882469668,1778882469743,10,10,85,0
SJF,7,Red Wine,25,1778882469691,1778882469745,1778882469770,54,54,79,0
SJF,5,Vodka shot,20,1778882469787,1778882469787,1778882469807,0,0,20,0
SJF,6,Margarita,75,1778882469824,1778882469824,1778882469899,0,0,75,0
SJF,8,Cosmopolitan,65,1778882469836,1778882469901,1778882469966,65,65,130,0
SJF,7,Red Wine,25,1778882469921,1778882469968,1778882469993,47,47,72,0
SJF,6,Draft Beer,50,1778882469980,1778882469995,1778882470045,15,15,65,0
SJF,8,Vodka shot,20,1778882470017,1778882470047,1778882470067,30,30,50,0
SJF,9,Gin and Tonic,40,1778882470052,1778882470069,1778882470109,17,17,57,0
SJF,7,Martini,60,1778882470144,1778882470144,1778882470204,0,0,60,0
SJF,6,Pina Colada,100,1778882470146,1778882470206,1778882470306,60,60,160,0
SJF,9,Tequila shot,20,1778882470219,1778882470308,1778882470328,89,89,109,0
SJF,7,Pina Colada,100,1778882470314,1778882470330,1778882470430,16,16,116,0
SJF,9,Cosmopolitan,65,1778882470331,1778882470432,1778882470497,101,101,166,0
SJF,9,Bloody Mary,70,1778882470548,1778882470548,1778882470618,0,0,70,0
SJF,7,Red Wine,25,1778882470551,1778882470620,1778882470645,69,69,94,0
SJF,9,Cosmopolitan,65,1778882470768,1778882470768,1778882470833,0,0,65,0
SJF,9,Pina Colada,100,1778882470884,1778882470884,1778882470984,0,0,100,0
SJF,0,Martini,60,1778882487526,1778882487527,1778882487587,1,1,61,0
SJF,1,Gin and Tonic,40,1778882487560,1778882487612,1778882487652,52,52,92,0
SJF,0,Mojito,75,1778882487697,1778882487698,1778882487773,1,1,76,0
SJF,1,Martini,60,1778882487763,1778882487775,1778882487835,12,12,72,0
SJF,0,Pina Colada,100,1778882487883,1778882487883,1778882487983,0,0,100,0
SJF,1,Martini,60,1778882487945,1778882487985,1778882488045,40,40,100,0
SJF,0,Cosmopolitan,65,1778882488104,1778882488104,1778882488169,0,0,65,0
SJF,1,Martini,60,1778882488156,1778882488171,1778882488231,15,15,75,0
SJF,0,Vodka shot,20,1778882488220,1778882488233,1778882488253,13,13,33,0
SJF,0,B52,200,1778882488256,1778882488256,1778882488457,0,0,201,0
SJF,1,Pina Colada,100,1778882488341,1778882488458,1778882488558,117,117,217,0
SJF,1,Red Wine,25,1778882488679,1778882488679,1778882488704,0,0,25,0
SJF,1,Margarita,75,1778882488855,1778882488855,1778882488930,0,0,75,0
SJF,2,White Wine,25,1778882489322,1778882489322,1778882489347,0,0,25,0
SJF,3,Gin and Tonic,40,1778882489480,1778882489480,1778882489520,0,0,40,0
SJF,2,Vodka shot,20,1778882489498,1778882489522,1778882489542,24,24,44,0
SJF,3,White Wine,25,1778882489631,1778882489631,1778882489656,0,0,25,0
SJF,3,Draft Beer,50,1778882489806,1778882489806,1778882489856,0,0,50,0
SJF,3,Gin and Tonic,40,1778882489957,1778882489957,1778882489997,0,0,40,0
SJF,3,B52,200,1778882490108,1778882490108,1778882490308,0,0,200,0
SJF,3,B52,200,1778882490318,1778882490318,1778882490518,0,0,200,0
SJF,4,Margarita,75,1778882490366,1778882490520,1778882490595,154,154,229,0
